"iso_code"	"country"	"who_region"	"world_bank_region"	"income_group"	"total_population"	"pct_rural"	"measles_vaccine_policy"
"AFG"	"Afghanistan"	"Eastern Mediterranean Region"	"South Asia"	"Low income"	"43372950"	"72.735"	"not required"
"AGO"	"Angola"	"African Region"	"Sub-Saharan Africa"	"Lower middle income"	"37804634"	"30.718999999999994"	"not required"
"ALB"	"Albania"	"European Region"	"Europe & Central Asia"	"Upper middle income"	"2762825"	"34.620000000000005"	"required"
"AND"	"Andorra"	"European Region"	"Europe & Central Asia"	"High income"	"80341"	"12.253"	"required"
"ARE"	"United Arab Emirates"	"Eastern Mediterranean Region"	"Middle East & North Africa"	"High income"	"9591853"	"11.992000000000004"	"required"
"ARG"	"Argentina"	"Region of the Americas"	"Latin America & Caribbean"	"Upper middle income"	"46799296"	"7.4210000000000065"	"required"
"ARM"	"Armenia"	"European Region"	"Europe & Central Asia"	"Upper middle income"	"2777979"	"36.071"	"not required"
"ATG"	"Antigua and Barbuda"	"Region of the Americas"	"Latin America & Caribbean"	"High income"	"94816"	"75.662"	"not required"
"AUS"	"Australia"	"Western Pacific Region"	"East Asia & Pacific"	"High income"	"26506632"	"13.25"	"required"
"AUT"	"Austria"	"European Region"	"Europe & Central Asia"	"High income"	"9068574"	"40.181"	"not required"
"AZE"	"Azerbaijan"	"European Region"	"Europe & Central Asia"	"Upper middle income"	"10246234"	"42.003"	"not required"
"BDI"	"Burundi"	"African Region"	"Sub-Saharan Africa"	"Low income"	"13591657"	"84.84"	"not required"
"BEL"	"Belgium"	"European Region"	"Europe & Central Asia"	"High income"	"11742661"	"1.7759999999999962"	"not required"
"BEN"	"Benin"	"African Region"	"Sub-Saharan Africa"	"Lower middle income"	"14080072"	"49.331"	"required"
"BFA"	"Burkina Faso"	"African Region"	"Sub-Saharan Africa"	"Low income"	"23840247"	"66.834"	"required"
"BGD"	"Bangladesh"	"South-East Asia Region"	"South Asia"	"Lower middle income"	"174701211"	"58.77"	"not required"
"BGR"	"Bulgaria"	"European Region"	"Europe & Central Asia"	"Upper middle income"	"6333999"	"22.962999999999994"	"required"
"BHR"	"Bahrain"	"Eastern Mediterranean Region"	"Middle East & North Africa"	"High income"	"1498712"	"10.001000000000005"	"required"
"BHS"	"Bahamas"	"Region of the Americas"	"Latin America & Caribbean"	"High income"	"415223"	"16.236000000000004"	"not required"
"BIH"	"Bosnia and Herzegovina"	"European Region"	"Europe & Central Asia"	"Upper middle income"	"3194378"	"49.292"	"required"
"BLR"	"Belarus"	"European Region"	"Europe & Central Asia"	"Upper middle income"	"9147972"	"18.875"	"not required"
"BLZ"	"Belize"	"Region of the Americas"	"Latin America & Caribbean"	"Upper middle income"	"416656"	"53.162"	"not required"
"BOL"	"Bolivia"	"Region of the Americas"	"Latin America & Caribbean"	"Lower middle income"	"12567336"	"28.455"	"not required"
"BRA"	"Brazil"	"Region of the Americas"	"Latin America & Caribbean"	"Upper middle income"	"217637297"	"11.983999999999995"	"required"
"BRB"	"Barbados"	"Region of the Americas"	"Latin America & Caribbean"	"High income"	"282309"	"68.452"	"not required"
"BRN"	"Brunei"	"Western Pacific Region"	"East Asia & Pacific"	"High income"	"455858"	"20.561000000000007"	"required"
"BTN"	"Bhutan"	"South-East Asia Region"	"South Asia"	"Lower middle income"	"792382"	"55"	"required"
"BWA"	"Botswana"	"African Region"	"Sub-Saharan Africa"	"Upper middle income"	"2719694"	"26.510000000000005"	"required"
"CAF"	"Central African Republic"	"African Region"	"Sub-Saharan Africa"	"Low income"	"5915627"	"55.87"	"not required"
"CAN"	"Canada"	"Region of the Americas"	"North America"	"High income"	"39555364"	"18.019999999999996"	"not required"
"CHE"	"Switzerland"	"European Region"	"Europe & Central Asia"	"High income"	"8878451"	"25.673000000000002"	"not required"
"CHL"	"Chile"	"Region of the Americas"	"Latin America & Caribbean"	"High income"	"19658839"	"11.884"	"required"
"CHN"	"China"	"Western Pacific Region"	"East Asia & Pacific"	"Upper middle income"	"1411514112"	"34.456"	"not required"
"CIV"	"Côte d'Ivoire"	"African Region"	"Sub-Saharan Africa"	"Lower middle income"	"29603302"	"46.356"	"not required"
"CMR"	"Cameroon"	"African Region"	"Sub-Saharan Africa"	"Lower middle income"	"29394433"	"40.108"	"not required"
"COD"	"Congo, Democratic Republic of the"	"African Region"	"Sub-Saharan Africa"	"Low income"	"105625114"	"51.945"	"required"
"COG"	"Congo, Republic of the"	"African Region"	"Sub-Saharan Africa"	"Lower middle income"	"6244547"	"30.361999999999995"	"not required"
"COK"	"Cook Islands"	"Western Pacific Region"	NA	NA	NA	NA	"not required"
"COL"	"Colombia"	"Region of the Americas"	"Latin America & Caribbean"	"Upper middle income"	"52340774"	"17.348"	"required"
"COM"	"Comoros"	"African Region"	"Sub-Saharan Africa"	"Lower middle income"	"867605"	"69.582"	"required"
"CPV"	"Cabo Verde"	"African Region"	"Sub-Saharan Africa"	"Lower middle income"	"604461"	"31.587999999999994"	"not required"
"CRI"	"Costa Rica"	"Region of the Americas"	"Latin America & Caribbean"	"Upper middle income"	"5246714"	"16.833"	"required"
"CUB"	"Cuba"	"Region of the Americas"	"Latin America & Caribbean"	"Upper middle income"	"11174587"	"22.343000000000004"	"not required"
"CYP"	"Cyprus"	"European Region"	"Europe & Central Asia"	"High income"	"1268467"	"32.918000000000006"	"not required"
"CZE"	"Czechia"	"European Region"	"Europe & Central Asia"	"High income"	"10686089"	"25.262"	"required"
"DEU"	"Germany"	"European Region"	"Europe & Central Asia"	"High income"	"83610040"	"22.105000000000004"	"required"
"DJI"	"Djibouti"	"Eastern Mediterranean Region"	"Middle East & North Africa"	"Lower middle income"	"1152329"	"21.268"	"not required"
"DMA"	"Dominica"	"Region of the Americas"	"Latin America & Caribbean"	"Upper middle income"	"73368"	"27.688000000000002"	"not required"
