county,state,svi,pct_reporting,pct_onedose
Autauga County,AL,Mod-High,92.6,58
Baldwin County,AL,Low-Mod,92.6,67
Barbour County,AL,High,92.6,57.7
Bibb County,AL,High,92.6,43.9
Blount County,AL,Mod-High,92.6,39.6
Bullock County,AL,High,92.6,72.2
Butler County,AL,Mod-High,92.6,51.4
Calhoun County,AL,Mod-High,92.6,59.1
Chambers County,AL,High,92.6,39.4
Cherokee County,AL,Low-Mod,92.6,39.3
Chilton County,AL,Mod-High,92.6,45.6
Choctaw County,AL,Mod-High,92.6,85.1
Clarke County,AL,High,92.6,64.4
Clay County,AL,Mod-High,92.6,52.5
Cleburne County,AL,Low-Mod,92.6,35.4
Coffee County,AL,Mod-High,92.6,61.9
Colbert County,AL,Low-Mod,92.6,58.8
Conecuh County,AL,Mod-High,92.6,59.4
Coosa County,AL,Low-Mod,92.6,50.2
Covington County,AL,Mod-High,92.6,47.7
Crenshaw County,AL,Mod-High,92.6,43.2
Cullman County,AL,Mod-High,92.6,46.5
Dale County,AL,High,92.6,59.6
Dallas County,AL,High,92.6,61
DeKalb County,AL,Mod-High,92.6,43.2
Elmore County,AL,Low-Mod,92.6,59.5
Escambia County,AL,High,92.6,48.3
Etowah County,AL,Mod-High,92.6,50.9
Fayette County,AL,Mod-High,92.6,42.1
Franklin County,AL,Mod-High,92.6,55.3
Geneva County,AL,Mod-High,92.6,49.9
Greene County,AL,High,92.6,65.9
Hale County,AL,High,92.6,74.7
Henry County,AL,Mod-High,92.6,56
Houston County,AL,Mod-High,92.6,53.3
Jackson County,AL,Mod-High,92.6,62.2
Jefferson County,AL,High,92.6,75.2
Lamar County,AL,Mod-High,92.6,52.9
Lauderdale County,AL,Low-Mod,92.6,59.5
Lawrence County,AL,Low-Mod,92.6,56.5
Lee County,AL,Mod-High,92.6,50.4
Limestone County,AL,Low-Mod,92.6,48.4
Lowndes County,AL,High,92.6,67.8
Macon County,AL,High,92.6,63.3
Madison County,AL,Low-Mod,92.6,80.3
Marengo County,AL,High,92.6,69
Marion County,AL,Mod-High,92.6,43.8
Marshall County,AL,Mod-High,92.6,57.5
Mobile County,AL,High,92.6,63.3
Monroe County,AL,Mod-High,92.6,56.5
Montgomery County,AL,High,92.6,69.1
Morgan County,AL,Mod-High,92.6,53
Perry County,AL,High,92.6,60.3
Pickens County,AL,High,92.6,64.7
Pike County,AL,High,92.6,53.4
Randolph County,AL,Mod-High,92.6,41.8
Russell County,AL,High,92.6,58.7
Shelby County,AL,Low,92.6,46.6
St. Clair County,AL,Low-Mod,92.6,48.1
Sumter County,AL,High,92.6,71.3
Talladega County,AL,High,92.6,45.8
Tallapoosa County,AL,High,92.6,47.1
Tuscaloosa County,AL,Mod-High,92.6,54.9
Walker County,AL,Mod-High,92.6,58.1
Washington County,AL,Low-Mod,92.6,57.4
